Nama,Kategori,Harga,Waktu_Makan,Lokasi,Deskripsi,Rating,Waktu_Persiapan,Popularitas,Ketersediaan
Jus Pir,Manis,20000,Semua,Riau,Jus buah pir  manis dan kaya serat.,4,5,750,88
Jus Anggur,Manis,25000,Semua,Riau,Jus buah anggur  manis dan menyegarkan.,4.2,5,800,89
Jus Belimbing,Manis,18000,Semua,Riau,Jus buah belimbing  manis dan sedikit asam.,3.9,5,700,85
Jus Sirsak,Manis,22000,Semua,Riau,Jus buah sirsak  manis asam dan creamy.,4.3,5,820,90
Jus Sirsak Nata de Coco,Manis,25000,Semua,Riau,Jus sirsak dengan tambahan nata de coco,4.4,8,850,91
Es Cincau Hitam,Manis,12000,Semua,Riau,Minuman segar dari cincau hitam dengan santan dan gula merah.,4,5,780,89
Es Kacang Hijau,Manis,15000,Semua,Riau,Minuman segar dari kacang hijau rebus santan dan gula.,4.1,10,800,90
Es Dawet,Manis,10000,Semua,Jawa Tengah,Minuman segar dari cendol hijau snatan dan gula merah,4.2,8,850,92
Es Cendol,Manis,10000,Semua,Jawa Barat,Minuman segar dengan cendol,4.3,8,870,93
Es Sarang Burung,Manis,18000,Semua,Riau,Es serut dengan agar-agar yang dibentuk seperti sarang burung,4.1,10,750,88
Es Teler Jumbo,Manis,30000,Semua,Jakarta,Es teler dengan porsi lebih besar dan isian melimpah.,4.7,10,960,98
Es Oyen,Manis,20000,Semua,Jawa Barat,Mirip es campur dengan alpukat,4.4,8,880,92
Es Doger,Manis,15000,Semua,Jawa Barat,Es krim tradisional dari santan dengan roti tawar,4.2,10,800,90
Es Goyobod,Manis,15000,Semua,Jawa Barat,Es campur dengan agar-agar,4.1,10,750,88
Es Podeng,Manis,18000,Semua,Jakarta,Es puter dengan roti tawar,4.3,10,820,90
Es Shanghai,Manis,20000,Semua,Riau,Es campur dengan aneka buah,4.2,10,780,89
Es Gempol Pleret,Manis,15000,Semua,Jawa Tengah,Minuman segar dari gempol (bulatan nasi) dan pleret (cendol pink),4,10,700,85
Es Campur Buah,Manis,25000,Semua,Riau,Es campur dengan dominasi buah-buahan segar.,4.5,8,900,94
Es Campur Cincau,Manis,18000,Semua,Riau,Es campur dengan banyak cincau hitam dan hijau.,4.3,8,850,91
Es Timun Suri,Manis,15000,Semua,Riau,Minuman segar dari timun suri  manis dan sangat menyegarkan.,4.1,5,780,89
Wedang Jahe Susu,Manis,15000,Semua,Riau,Minuman jahe hangat dengan tambahan susu  creamy dan pedas.,4.4,5,880,92
Wedang Ronde Kuah Kacang,Manis,18000,Camilan,DIY Yogyakarta,Ronde dengan kuah kacang hangat,4.3,15,800,88
Sekoteng,Manis,15000,Camilan,Riau,Minuman jahe hangat dengan roti tawar,4.2,10,750,87
Bandrek,Manis,15000,Semua,Jawa Barat,Minuman tradisional hangat dari jahe dan rempah,4.3,10,800,89
Bajigur,Manis,15000,Semua,Jawa Barat,Minuman tradisional hangat dari santan,4.2,10,780,88
Kopi Joss,Pahit,15000,Semua,DIY Yogyakarta,Kopi arang khas Jogja,4.5,5,900,93
Kopi Luwak,Pahit,50000,Semua,Riau,Kopi dari biji kopi yang dicerna luwak,4,10,700,70
Teh Poci,Manis,10000,Semua,Jawa Tengah,Teh yang diseduh dalam poci tanah liat,4.1,5,800,90
Bir Pletok,Manis,18000,Semua,Jakarta,Minuman tradisional Betawi non-alkohol dari rempah-rempah.,4,10,750,85
Jamu Kunyit Asam,Asam,10000,Semua,Jawa Tengah,Minuman tradisional sehat dari kunyit dan asam jawa,4.2,5,850,92
Jamu Beras Kencur,Manis,10000,Semua,Jawa Tengah,Minuman tradisional sehat dari beras dan kencur,4.1,5,800,90
Jamu Temulawak,Pahit,10000,Semua,Jawa Tengah,Minuman tradisional sehat dari temulawak,3.8,5,700,85
Jamu Pahitan,Pahit,8000,Semua,Jawa Tengah,Jawa Tengah,3.5,5,600,70
Wedang Uwuh,Manis,15000,Semua,DIY Yogyakarta,Minuman hangat dari rempah-rempah kering,4.5,10,900,93
Dawet Ireng,Manis,12000,Semua,Jawa Tengah,Dawet dengan warna hitam dari abu merang,4.1,8,780,89
Es Kopyor,Manis,25000,Semua,DIY Yogyakarta,Minuman segar dari kelapa kopyor,4.6,5,900,94
Kue Ape Hijau,Manis,7000,Camilan,Jakarta,Kue ape dengan pewarna alami dari pandan,4,10,700,86
Kue Mangkok,Manis,8000,Camilan,DIY Yogyakarta,Kue kukus berbentuk mangkok,4.1,20,750,88
Kue Putu Ayu,Manis,8000,Camilan,DIY Yogyakarta,Kue putu dengan warna hijau dari pandan dan kelapa parut.,4.2,15,800,90
Bolu Karamel,Manis,25000,Camilan,DIY Yogyakarta,Bolu dengan rasa karamel,4.4,30,880,92
Kue Bikang,Manis,9000,Camilan,Jawa Timur,Kue dari tepung beras dan santan,4,20,700,85
Kue Nagasari,Manis,9000,Camilan,Jawa Tengah,Kue dari tepung beras,4.1,25,750,88
Kue Talam,Manis,8000,Camilan,DIY Yogyakarta,Kue kukus lapis dari tepung beras dan santan,4,20,720,87
Kue Cucur,Manis,7000,Camilan,Jakarta,Kue goreng berbentuk bulat dengan pinggiran berserat,4,15,700,85
Kue Lapis Beras,Manis,15000,Camilan,Riau,Kue lapis dari tepung beras,4.1,30,780,89
Kue Lumpur,Manis,10000,Camilan,Riau,Kue lembut dengan bahan dasar kentang atau labu,4.2,20,800,90
Kue Serabi,Manis,8000,Camilan,Riau,Pancake beras tradisional,4.3,15,850,91
Kue Lupis,Manis,8000,Camilan,Riau,Ketan yang dibungkus daun pisang,4.1,20,780,89
Kue Getuk Lindri,Manis,10000,Camilan,Jawa Tengah,Getuk singkong dengan warna-warni,4,15,750,88
Kue Cenil,Manis,8000,Camilan,Jawa Tengah,Kue kecil dari tepung kanji,3.9,10,700,85
Kue Klepon,Manis,8000,Camilan,Jawa Tengah,Bola ketan berisi gula merah cair,4.3,10,900,94
Kue Mata Roda,Manis,10000,Camilan,Jawa Tengah,Kue singkong dengan isian pisang,4,20,720,87
Kue Awug,Manis,9000,Camilan,Jawa Barat,Kue singkong kukus dengan gula merah di tengahnya.,3.9,15,680,82
Kue Ongol-ongol,Manis,8000,Camilan,Jawa Barat,Kue kenyal dari sagu aren,3.8,10,650,80
Kue Bugis,Manis,9000,Camilan,Sulawesi Selatan,Kue ketan dengan isian kelapa parut dan gula merah,4,20,750,88
Kue Buras,Gurih/Umami,15000,Sarapan,Sulawesi Selatan,Ketupat santan yang direbus,4.1,60,700,85
Coto Makassar Ayam,Gurih/Umami,35000,Sarapan,Sulawesi Selatan,Coto Makassar dengan daging ayam sebagai isiannya,4,30,800,88
Sop Saudara,Gurih/Umami,38000,Makan Siang,Sulawesi Selatan,Sup daging sapi berkuah kental khas Makassar,4.5,30,890,93
Pallubasa Buntel,Gurih/Umami,45000,Makan Siang,Sulawesi Selatan,Pallubasa dengan isian buntel (usus) sapi,4.3,40,850,90
Es Pisang Ijo,Manis,20000,Semua,Sulawesi Selatan,Pisang yang dibungkus adonan hijau,4.6,15,950,97
Pisang Epe,Manis,15000,Camilan,Sulawesi Selatan,Pisang bakar yang dipipihkan,4.2,10,780,89
Konro Rica,Pedas,60000,Makan Malam,Sulawesi Selatan,Iga konro yang dimasak dengan bumbu rica-rica pedas.,4.8,45,960,98
Mie Pangsit Makassar,Gurih/Umami,28000,Makan Siang,Sulawesi Selatan,Mie pangsit dengan topping ayam dan kuah khas Makassar.,4.4,20,870,91
Barongko,Manis,12000,Camilan,Sulawesi Selatan,Kue pisang yang dikukus dalam daun pisang,4.1,25,750,88
Kue Cucur Pandan,Manis,7000,Camilan,Jakarta,Kue cucur dengan aroma dan warna hijau pandan.,4,15,720,86
Kue Wajik Pandan,Manis,18000,Camilan,Jakarta,Wajik dengan aroma dan warna hijau pandan.,4.1,25,750,88
Kue Nagasari Pandan,Manis,9000,Camilan,Jakarta,Nagasari dengan aroma dan warna hijau pandan.,4,25,700,87
Kue Klepon Pandan,Manis,8000,Camilan,Jakarta,Klepon dengan aroma dan warna hijau pandan,4.3,10,900,94
Kue Putu Mayang,Manis,10000,Camilan,Jawa Barat,Kue berbentuk seperti mi,4.2,20,780,89
Kue Rangi Kelapa,Manis,8000,Camilan,Jakarta,Kue rangi dengan dominasi rasa kelapa.,3.8,15,650,80
Kue Pancong Keju,Manis,15000,Camilan,Jakarta,Kue pancong dengan taburan keju,4.2,15,800,90
Kue Cubit Cokelat,Manis,12000,Camilan,Jakarta,Kue cubit dengan topping cokelat.,4.3,10,850,91
